Company,Product,Last Name,First Name,Telephone,Deal Status,Completion Date,Sales Code,Type of Contact,Call Attempt #1,Call Attempt #2,Call Attempt #3,Subscription Plan,Follow up,Type Of Contact,Last Name of Sales Rep,First Name of Sales Rep,Title of Sales Rep,Comments
Huawei,Professional,Holmes,Carolyn,585-434-0685,Follow Up,,UPG,Telephonic,,2023-05-28,,6 Mo,,In Person,Bentley,James,Associate,
SAP,Professional,Buckley,Charles,(696)209-1817,Interested,,ADD,Telephonic,,2023-04-18,,1 Mo,,Telephonic,Roberts,Julie,,
Facebook,Professional,Perez,Stephen,7117232100,No Deal,2015-05-18,,Telephonic,2023-06-14,2023-04-02,,18 Mo,2023-06-04,,Dean,Anthony,,
Intel,Enterprise,Conner,Dennis,(896)242-6657,Follow Up,,ADD,Telephonic,,2023-06-03,,1 Mo,2023-04-24,Telephonic,Mathews,Jennifer,,
IBM,Professional,Anderson,Jason,4743707694,No Deal,2011-11-21,RPT,Social Media,,,,,,,Johnson,Christina,Associate,
Apple,Solo,Dawson,Robert,7945975924,Follow Up,2008-05-31,ADD,In Person,,2023-02-18,2023-06-20,1 Mo,,In Person,Boyer,Scott,,
NTT DOCOMO,Professional,Phillips,Scott,(429)751-8802,No Deal,,NEW,Social Media,2023-03-18,2023-03-07,,1 Mo,2023-01-04,,Yoder,Helen,Manager,
NTT Urban Development,Solo,Carson,Amy,(838)573-1335,Interested,2015-07-02,NEW,Email,,2023-03-29,,18 Mo,2023-02-25,In Person,Garcia,Andrew,Manager,
SAP,Enterprise,Smith,John,(525)575-2635,No Deal,2015-08-30,NEW,Social Media,,2023-04-05,,6 Mo,2023-02-06,In Person,Young,Kelly,,
Google,Enterprise,Anderson,Madison,266-818-0304,Follow Up,,UPG,Expo Event,,2023-06-12,2023-05-07,18 Mo,,In Person,Logan,Christopher,,
NTT Security,Solo,Hayes,Laura,276-698-5771,No Deal,2002-10-09,,Email,,2023-05-20,,18 Mo,,In Person,Bryant,Hayley,Associate,
Adobe,Solo,Carlson,Francisco,(897)352-1646,No Deal,2017-05-15,ADD,,,2023-05-10,,6 Mo,,,Williams,Nicole,,
Apple,Professional,Ray,Christian,422-586-8032,Interested,2021-11-15,NEW,In Person,,2023-05-01,,1 Mo,,,Stewart,Dawn,Closer,
HP,Professional,Parker,Jacqueline,5182218562,Closed,2009-10-02,RPT,Social Media,,2023-05-26,,,,In Person,Cross,Kendra,,
Amazon,Enterprise,Alvarez,Matthew,905-876-6851,,2020-02-22,ADD,Expo Event,,,2023-05-26,18 Mo,,Telephonic,Ellis,Eric,Manager,
Cisco,Enterprise,Chan,Jeremy,9658025804,Closed,2002-08-07,UPG,In Person,,,,1 Mo,2023-06-24,In Person,Martinez,Kristina,Closer,
NTT Communications,Professional,Irwin,Heather,586-710-3400,Follow Up,2015-12-07,ADD,In Person,,2023-03-07,2023-04-05,,,,Rodriguez,David,,
NTT Finance,Solo,Ryan,Joshua,(725)553-1410,,,UPG,Email,,2023-02-14,2023-04-15,6 Mo,,,Cisneros,Thomas,Closer,
Adobe,Professional,Blake,Michelle,(233)281-5026,,2022-05-12,RPT,Social Media,,2023-04-10,,18 Mo,,Telephonic,Stanton,Lisa,Closer,
HP,Solo,Simpson,Christopher,5769145668,No Deal,2016-11-02,RPT,Email,,,,1 Mo,2023-02-07,,Stanley,Allison,Associate,
Amazon,Solo,Herrera,Brandon,2474820622,Closed,2009-05-21,ADD,In Person,,2023-03-29,,,2023-03-01,In Person,Ellison,Andrea,,
NTT Communications,Professional,Knight,Jason,5717798491,Follow Up,2003-02-01,UPG,Expo Event,,2023-03-18,,6 Mo,,In Person,Smith,Bobby,Associate,
IBM,Professional,Houston,Christian,872-676-3206,No Deal,,RPT,Telephonic,,2023-05-23,,12 Mo,,Telephonic,Maddox,Cheyenne,Closer,
NEC,Solo,Mccoy,Scott,3789177639,Closed,,ADD,Social Media,,,2023-01-06,,,In Person,Chavez,Ana,Closer,
NTT Security,Solo,Davidson,Steven,(908)903-4549,Closed,2010-01-05,RPT,In Person,,2023-03-09,2023-01-10,1 Mo,,,Long,Derek,Associate,
NTT Security,Solo,Johnson,Mary,(343)648-4707,,2009-05-21,,Expo Event,,2023-06-20,,18 Mo,2023-01-03,In Person,Gibbs,Stacey,Closer,
NTT DATA Business Solutions,Enterprise,Hampton,Jeremy,(548)558-8422,Interested,,RPT,Expo Event,,2023-03-12,,1 Mo,,Telephonic,Shaw,April,,
Microsoft,Enterprise,Marshall,Courtney,(257)786-6091,,,UPG,Telephonic,,2023-03-20,2023-05-05,18 Mo,,,Johnson,Christy,Manager,
NTT TechnoCross,Solo,Edwards,Emily,579-326-4055,Closed,,NEW,Social Media,2023-06-06,2023-03-14,2023-04-17,12 Mo,,Telephonic,Davidson,Timothy,Associate,
NTT DATA Business Solutions,Enterprise,Moore,Corey,(822)350-0165,Closed,2022-08-28,ADD,Telephonic,,2023-03-08,2023-02-25,18 Mo,2023-04-26,,Weiss,Kyle,Associate,
Dell,Enterprise,Rivera,Brittany,(494)201-2186,Interested,2018-03-31,ADD,In Person,2023-05-21,2023-04-21,,12 Mo,,In Person,Boyd,Christine,,
NTT Finance,Professional,Frank,Holly,(293)756-7262,Closed,2019-03-05,RPT,Social Media,,,,1 Mo,,In Person,Kelly,Kelly,,
NEC,Enterprise,Franklin,Jeffrey,798-955-3144,Follow Up,2009-09-30,UPG,Social Media,,2023-01-07,2023-04-01,,2023-01-03,Telephonic,Williams,Dominique,,
Oracle,Solo,Rodriguez,William,(818)913-5861,Interested,,RPT,,,,,1 Mo,,In Person,Thompson,Mary,Manager,
VMware,Professional,Page,Philip,6898605639,Interested,2018-09-14,RPT,Email,,2023-01-01,2023-04-10,6 Mo,2023-05-27,In Person,Williams,Alicia,Manager,
NEC,Professional,Stokes,Thomas,259-732-8794,Closed,2011-11-18,,Telephonic,2023-01-31,,,18 Mo,2023-01-04,In Person,Martin,Willie,Manager,
Apple,Enterprise,Jordan,Christine,(811)832-8670,Interested,,ADD,,,2023-01-24,2023-04-13,6 Mo,2023-05-28,,Rivas,Brian,Associate,
NTT Urban Development,Enterprise,Hobbs,Michael,(745)925-4421,Interested,,NEW,In Person,2023-05-03,,,1 Mo,2023-02-28,,Bennett,Amy,,
VMware,Enterprise,Savage,Joshua,963-206-1709,No Deal,2009-01-02,ADD,Social Media,,2023-01-31,,,,,Walsh,Phillip,Associate,
Apple,Professional,Martinez,Melanie,(892)324-2273,Closed,,ADD,Email,,2023-01-21,,,2023-03-08,In Person,Adams,Ariel,Associate,
NTT,Professional,Dunn,Brian,3669452824,Interested,2020-12-07,RPT,Expo Event,2023-02-27,2023-02-09,2023-04-27,1 Mo,,In Person,Randolph,Heather,Closer,
IBM,Professional,Russell,Thomas,995-467-3883,Interested,2021-07-31,UPG,Email,2023-04-23,2023-04-08,,12 Mo,,,Harris,Melanie,Manager,
Adobe,Solo,Campbell,Edwin,8989473306,,2007-01-20,NEW,Social Media,2023-06-14,2023-02-02,,1 Mo,,,Garcia,John,Manager,
Apple,Enterprise,Gray,Melanie,6326102949,No Deal,,RPT,Social Media,,,,12 Mo,,In Person,Everett,Miranda,,
IBM,Solo,Valdez,Stephanie,(400)454-7784,Interested,2011-10-20,UPG,Social Media,,,,12 Mo,,,Jones,Austin,Closer,
NTT DATA Business Solutions,Professional,Hernandez,Chad,(687)504-3390,Interested,2013-02-27,NEW,Social Media,,,2023-06-28,6 Mo,,Telephonic,Garcia,Hannah,,
Google,Professional,Frey,Daniel,9816517667,,2004-09-18,UPG,Telephonic,,2023-01-11,,12 Mo,,Telephonic,Jones,Jennifer,Associate,
NTT TechnoCross,Enterprise,Peterson,Mary,4967171407,Interested,2015-01-07,ADD,Email,,,2023-06-14,,2023-05-18,In Person,Bryan,Michael,Manager,
Intel,Enterprise,Roberts,Donna,(356)719-5753,Interested,,NEW,Social Media,,,,1 Mo,,In Person,Thompson,Donna,Manager,
Oracle,Enterprise,Rodriguez,Thomas,462-664-0567,Closed,2005-11-14,RPT,,,2023-03-31,2023-03-26,1 Mo,,In Person,Spencer,Erin,Closer,
Google,Enterprise,Sanchez,Elizabeth,413-951-0326,Follow Up,2021-06-06,UPG,,,2023-06-04,2023-04-11,12 Mo,,Telephonic,Nunez,Amy,Associate,
NEC,Solo,Smith,Kim,(818)546-8670,Follow Up,2016-06-13,UPG,Email,,,,12 Mo,,,Singh,Michael,Closer,
Cisco,Solo,Hunt,Maria,456-902-0986,Closed,,NEW,,2023-04-29,,2023-05-21,12 Mo,,In Person,White,Lauren,,
Intel,Enterprise,Johnson,Taylor,347-296-0047,,2010-04-27,NEW,Social Media,,2023-02-22,2023-03-26,1 Mo,,In Person,Nichols,Yvonne,Manager,
HPE,Solo,Gordon,Anthony,970-870-2811,Follow Up,2008-10-16,UPG,In Person,,,2023-02-22,1 Mo,,In Person,Mahoney,Victoria,Associate,
NTT Finance,Enterprise,Brown,Scott,9294426209,Interested,,UPG,In Person,2023-05-29,2023-03-18,,12 Mo,2023-04-19,,Perkins,Jillian,,
NTT Data,Solo,Campbell,Raven,(557)778-5419,Closed,2022-05-16,UPG,,,,,12 Mo,,,Anderson,Robin,,
Intel,Solo,Jones,Amanda,753-246-4065,No Deal,2010-12-01,RPT,In Person,,2023-06-12,,12 Mo,2023-02-14,Telephonic,Smith,Jacqueline,Manager,
Salesforce,Enterprise,Castillo,Brenda,(495)389-2584,Follow Up,2013-02-10,NEW,Expo Event,,,2023-05-28,12 Mo,2023-05-17,In Person,Wilson,Debra,,
NTT Advanced Technology,Professional,Key,Jacob,(513)964-6097,,,ADD,,,,2023-06-29,1 Mo,,Telephonic,Hill,Brandon,Associate,
Microsoft,Professional,Osborn,Anna,(697)296-2532,Interested,,,Expo Event,,,,12 Mo,,,Miller,Mary,Associate,
NTT,Professional,Richardson,Antonio,(385)264-4762,No Deal,,,Social Media,,2023-03-24,,6 Mo,2023-03-06,In Person,Wilson,Lisa,Associate,
IBM,Enterprise,Brown,Tony,5275760341,No Deal,2021-12-04,,,2023-06-21,2023-05-24,,18 Mo,,Telephonic,Smith,Lauren,,
NTT Security,Enterprise,Perry,Michael,3774967929,No Deal,,,Telephonic,,,2023-03-10,,,Telephonic,Ross,Nicole,,
NTT Urban Development,Enterprise,Garcia,Jimmy,(239)884-7447,Interested,,NEW,Social Media,,2023-03-20,,12 Mo,2023-03-02,Telephonic,Wilkins,Amber,Associate,
VMware,Solo,Black,Tammy,(234)332-9167,Follow Up,,ADD,Telephonic,,,2023-04-19,,2023-04-26,Telephonic,Jones,Elizabeth,Manager,
NTT Communications,Solo,Morgan,John,997-690-9422,Follow Up,2023-02-03,RPT,Expo Event,,2023-04-10,2023-04-20,12 Mo,2023-02-14,In Person,Castro,Brianna,,
HP,Enterprise,Alvarez,Elizabeth,9743662156,No Deal,2002-12-23,,Telephonic,,2023-06-06,,,,In Person,Castro,Karen,,
NTT Data,Enterprise,Murray,Brenda,(852)741-1128,Closed,,,Social Media,,,,18 Mo,,,Hamilton,John,,
Facebook,Enterprise,Clark,Jimmy,7517738084,Interested,2010-07-11,ADD,Telephonic,,,2023-02-14,18 Mo,,,Williams,Christina,Manager,
NTT DOCOMO,Professional,Montoya,Travis,9656761590,Interested,,,Social Media,,2023-01-13,2023-04-02,1 Mo,,,Clarke,Edward,,
NTT Security,Professional,Barker,Shane,2732217218,Interested,2009-06-14,,Telephonic,,2023-04-22,,12 Mo,2023-01-19,Telephonic,Arnold,Kevin,Closer,
Huawei,Solo,Jones,Micheal,(910)590-4812,Closed,2018-09-21,UPG,Telephonic,,2023-01-24,,,,Telephonic,Blanchard,David,Associate,
NTT Advanced Technology,Professional,Hall,David,6485270940,Interested,2017-04-13,,Email,,,2023-02-19,1 Mo,,In Person,Kline,Lauren,Manager,
NTT,Enterprise,Sanchez,Jesus,779-688-6498,No Deal,2003-09-25,UPG,In Person,,,,12 Mo,2023-02-27,Telephonic,Carlson,Samantha,Manager,
Google,Enterprise,Smith,Amy,(952)313-3304,Follow Up,2015-11-13,NEW,Social Media,,2023-04-24,2023-01-22,,2023-02-26,,Vega,Robert,,
HPE,Solo,Miller,Vanessa,6984444638,Interested,2018-02-22,NEW,,,2023-02-12,2023-01-18,1 Mo,2023-06-18,Telephonic,Glenn,Holly,Closer,
IBM,Solo,Davis,Christopher,3003716129,No Deal,2016-12-17,RPT,Email,,2023-02-21,2023-04-21,18 Mo,2023-01-10,In Person,Ortiz,Lauren,Associate,
NTT Urban Development,Solo,Hodge,Natalie,9044961650,No Deal,,NEW,,,2023-02-12,2023-03-27,12 Mo,,In Person,Lee,David,,
NTT DATA Business Solutions,Enterprise,Hughes,Jo,(237)739-4559,Follow Up,,ADD,Email,,2023-04-02,,6 Mo,,Telephonic,Hoffman,Lisa,Associate,
HP,Enterprise,Coleman,Selena,2525509761,,,ADD,Expo Event,,2023-02-08,2023-01-11,6 Mo,,Telephonic,Parrish,Robin,Manager,
Adobe,Solo,Bauer,Michael,7874484222,Interested,,NEW,Telephonic,,2023-04-12,,18 Mo,,,Dudley,Jeffrey,,
Cisco,Professional,Brock,John,390-821-5492,Closed,,NEW,In Person,,2023-05-02,2023-01-24,,,Telephonic,Pittman,Vanessa,Associate,
NTT Advanced Technology,Professional,Hayes,Patrick,(881)766-0883,Closed,,RPT,Email,2023-06-15,,,,,,Parker,Diana,,
VMware,Solo,Petersen,Matthew,517-387-6716,,2006-10-28,UPG,Email,,2023-02-18,2023-06-22,1 Mo,2023-05-25,In Person,Morrow,Sonya,,
NTT Finance,Solo,Woods,Monica,(978)557-3966,Interested,2018-08-08,UPG,Expo Event,,2023-02-15,,1 Mo,,In Person,Carrillo,Kara,Associate,
Adobe,Professional,English,Brenda,6924552240,No Deal,,UPG,In Person,,2023-05-27,2023-03-22,1 Mo,2023-02-26,,Thomas,Shannon,,
Facebook,Enterprise,King,Debra,9628897085,,2019-02-03,,Social Media,,2023-04-20,,1 Mo,,,Padilla,Ethan,Associate,
Huawei,Enterprise,Meyer,Hunter,463-272-0628,Follow Up,,ADD,Email,,2023-03-18,,1 Mo,2023-06-07,In Person,Randolph,Kim,,
NTT TechnoCross,Solo,Brown,Anna,7639036068,Closed,2004-07-20,,Telephonic,,,2023-02-17,18 Mo,,Telephonic,Garrett,Nicole,Manager,
NTT,Enterprise,Tran,Robert,(436)261-0224,No Deal,2016-02-23,NEW,Expo Event,,2023-02-17,,1 Mo,,,Tyler,Nicole,Associate,
NTT,Professional,Carrillo,Shannon,5592176890,Closed,2004-01-20,NEW,Social Media,,,,1 Mo,,,Greer,David,Manager,
Microsoft,Solo,Marquez,Melvin,8384549499,Closed,,,Social Media,,2023-01-22,2023-01-05,18 Mo,,,Smith,Katie,Closer,
HPE,Solo,Griffin,Christopher,6544382840,Interested,,,Email,2023-04-27,2023-02-17,,18 Mo,,Telephonic,Arias,Judy,Manager,
IBM,Professional,Skinner,William,(971)533-0823,Interested,,,Social Media,,,,18 Mo,,,Price,Suzanne,Manager,
VMware,Enterprise,Cantu,Julian,677-863-3954,No Deal,,RPT,,,2023-03-05,,,2023-05-25,In Person,Jordan,Taylor,Associate,
Dell,Enterprise,Kerr,Kathleen,(626)797-5078,,,,Email,,2023-06-24,2023-06-19,18 Mo,,In Person,Winters,Kelly,Closer,
HP,Professional,Roberson,Charles,402-905-3494,Follow Up,,UPG,Telephonic,,2023-04-12,2023-03-10,,,In Person,Freeman,Angela,Closer,
NTT Urban Development,Professional,Hopkins,Jerry,263-465-7679,Follow Up,2005-05-12,RPT,,,,,,,In Person,Hawkins,Mark,Closer,
NTT Data,Solo,Phelps,Isabella,5823525078,,2017-07-28,NEW,Telephonic,,,,18 Mo,,In Person,Jones,Cassandra,Closer,
Amazon,Professional,Davis,Justin,9777993898,No Deal,2019-08-30,NEW,Telephonic,,,2023-01-13,,2023-03-31,,Mendoza,Savannah,,
Cisco,Solo,Campbell,Kelly,5004699957,Closed,2022-01-03,RPT,Telephonic,2023-06-24,2023-03-02,,12 Mo,,Telephonic,Stevens,Elizabeth,,
NEC,Enterprise,Hernandez,Courtney,6378331660,No Deal,2018-04-04,RPT,Telephonic,2023-03-05,,,,,,Hurst,Jennifer,Manager,
NTT DOCOMO,Solo,Nguyen,David,6549657389,No Deal,2014-09-04,UPG,Telephonic,,,,1 Mo,,,Young,John,Closer,
NEC,Enterprise,Henderson,Marc,(804)667-8180,Interested,2007-05-20,RPT,,,2023-04-10,,1 Mo,2023-03-24,In Person,Kirby,Jennifer,,
NTT TechnoCross,Professional,Flores,Emily,964-409-4251,,2008-09-16,NEW,In Person,,2023-05-15,2023-01-03,1 Mo,2023-02-09,,Middleton,Sherry,,
NTT Urban Development,Professional,Salazar,Christopher,3026205758,Closed,2019-11-08,,Social Media,,2023-06-14,2023-05-24,12 Mo,,In Person,Johnston,Joan,,
NTT DOCOMO,Enterprise,Rodriguez,James,735-986-5174,Closed,2006-11-04,RPT,Telephonic,2023-06-02,,,12 Mo,,In Person,Sparks,Nicole,Manager,
NTT TechnoCross,Professional,Harris,Virginia,9269472457,No Deal,,NEW,Social Media,2023-06-06,2023-03-16,,6 Mo,,Telephonic,Hill,Cheryl,Manager,
VMware,Solo,Watson,Nicole,9325662643,Closed,,,Social Media,,,,18 Mo,,Telephonic,Rowe,David,Associate,
NTT Advanced Technology,Solo,Acosta,Justin,(438)245-8097,Follow Up,,NEW,In Person,,2023-02-06,,12 Mo,,Telephonic,Maddox,April,Manager,
NTT Advanced Technology,Professional,Hamilton,Sherry,239-316-1158,,,RPT,,2023-05-07,,2023-01-20,1 Mo,,,Spence,William,Associate,
NTT Communications,Solo,Mitchell,Joseph,973-907-5858,Interested,2015-05-20,UPG,Email,,2023-05-23,2023-01-19,,,Telephonic,Johnson,Michael,Closer,
SAP,Professional,Mitchell,Cody,(856)793-9965,Interested,2011-04-23,ADD,Social Media,,2023-04-25,,6 Mo,2023-03-18,Telephonic,Torres,James,Closer,
NTT,Professional,Kent,Dana,4564065589,No Deal,,UPG,Email,,,,12 Mo,,,Crane,William,Manager,
Cisco,Solo,Ryan,Dennis,304-477-5655,No Deal,2023-04-06,RPT,Email,2023-04-19,2023-05-09,,,,Telephonic,Robinson,Alison,,
Microsoft,Professional,Hall,Vincent,746-499-1531,Closed,2004-08-19,NEW,Social Media,,2023-02-08,2023-06-01,18 Mo,2023-02-24,,Noble,Thomas,Associate,
NTT Advanced Technology,Enterprise,Hall,Thomas,(208)516-4917,,2023-05-27,NEW,Email,,2023-03-22,,1 Mo,,,Grimes,Cheryl,,
NTT Data,Enterprise,Moore,Alexandria,2957427934,Follow Up,2020-10-23,UPG,Email,,2023-05-23,2023-02-07,12 Mo,,,Snyder,John,,
Salesforce,Enterprise,Jackson,Ashley,6608402357,Closed,,,Telephonic,2023-06-04,2023-02-15,,12 Mo,,Telephonic,Bautista,Gregory,Manager,
HPE,Enterprise,Norris,Douglas,(744)219-4890,No Deal,2005-12-08,,Telephonic,,2023-05-22,2023-03-26,18 Mo,2023-01-28,,Duran,Joy,,
Google,Solo,Cummings,Anthony,766-228-0987,,2007-11-27,UPG,Expo Event,,,,6 Mo,,Telephonic,Hood,Jennifer,Closer,
NTT Data,Solo,Becker,Corey,306-731-1808,Interested,2005-06-10,NEW,Email,,2023-03-24,,12 Mo,,Telephonic,Williams,Amy,Manager,
NTT Communications,Professional,Patterson,Tyler,931-791-0952,Interested,,RPT,In Person,2023-04-04,2023-05-22,,,2023-05-29,In Person,Cervantes,Maxwell,Manager,
NEC,Enterprise,Landry,Michele,2087275981,Closed,2006-02-03,NEW,Email,,2023-04-06,,,,In Person,Gordon,Leah,,
NTT TechnoCross,Enterprise,Young,Joseph,6982800646,Follow Up,2015-04-22,,,2023-02-20,2023-04-10,,,2023-04-20,In Person,Clark,Paige,Manager,
Facebook,Enterprise,Cruz,Leah,(972)309-2793,Interested,2009-08-12,NEW,Social Media,,,,12 Mo,,,Chapman,Carol,Closer,
Facebook,Professional,Carney,Samuel,9765772209,No Deal,2021-06-06,ADD,Expo Event,,2023-01-09,,6 Mo,,In Person,Patton,Ashley,Manager,
Intel,Solo,Parker,Kimberly,977-676-6287,No Deal,,ADD,Expo Event,,,,1 Mo,,In Person,Murphy,James,Manager,
NTT TechnoCross,Professional,Powell,Debbie,4744228269,No Deal,2012-06-02,NEW,Expo Event,,,,12 Mo,,,Vasquez,Stacey,,
Cisco,Professional,Hill,Samantha,426-894-8453,No Deal,,NEW,In Person,2023-02-06,2023-02-23,,1 Mo,2023-05-29,,Gutierrez,Robin,Associate,
Intel,Enterprise,Stevens,Shari,796-390-2677,Follow Up,,,Email,,,,6 Mo,2023-04-29,Telephonic,Turner,Taylor,Associate,
Facebook,Enterprise,Moore,Gregory,321-693-5523,Follow Up,,RPT,Expo Event,,2023-02-21,2023-05-27,18 Mo,2023-05-03,,Wong,Wendy,Associate,
NTT Security,Solo,Hunt,Jennifer,778-696-9894,Follow Up,2015-05-29,ADD,In Person,,2023-06-11,,1 Mo,,In Person,Villanueva,Laura,Manager,
SAP,Enterprise,Miller,Mary,(652)915-3622,,2013-01-22,UPG,Email,,,,1 Mo,,Telephonic,Jackson,Mary,Manager,
SAP,Professional,Lawson,Deborah,6706570413,Interested,,RPT,,,,,6 Mo,2023-05-21,,Rodriguez,Teresa,,
NTT Urban Development,Solo,Williams,Roberta,318-429-4324,Follow Up,2014-12-09,NEW,In Person,,2023-04-21,,1 Mo,,In Person,Lowery,Nicole,Manager,
VMware,Enterprise,Jones,Nancy,8412721306,,2022-10-20,UPG,Telephonic,,2023-01-11,2023-03-22,12 Mo,,Telephonic,House,Patricia,Associate,
NTT TechnoCross,Solo,Espinoza,Michelle,(967)999-7642,Closed,2003-09-22,UPG,Expo Event,,,,,,Telephonic,Anderson,Barbara,Manager,
Amazon,Solo,Bauer,Charles,462-989-3508,No Deal,,UPG,Expo Event,,2023-03-02,,1 Mo,,,Sanders,Caroline,,
Oracle,Solo,Smith,Ronald,766-779-9292,,2023-05-23,RPT,Social Media,,2023-03-14,2023-05-12,1 Mo,,In Person,Hall,Bryan,Closer,
VMware,Solo,Moore,Amanda,2665209087,Closed,2020-12-14,,,,2023-02-27,,6 Mo,,Telephonic,Marshall,Deborah,Associate,
NTT Finance,Solo,Rodriguez,Zachary,5532606250,Closed,,,Telephonic,,2023-06-27,,12 Mo,,Telephonic,Johnson,Brandy,Manager,
Cisco,Professional,Keller,Brandy,7818742720,Follow Up,,NEW,In Person,,2023-03-17,2023-02-24,1 Mo,2023-06-11,In Person,Garcia,Sandra,Closer,
Google,Enterprise,Santos,Jack,(665)695-1538,Closed,,NEW,,,2023-02-10,,18 Mo,,Telephonic,Gibson,Carla,Manager,
NTT,Professional,Douglas,Michael,3514561850,Follow Up,2003-04-21,UPG,In Person,,,2023-06-02,12 Mo,2023-04-03,In Person,Wright,Ryan,Manager,
NEC,Professional,Benitez,Donald,8476052353,Closed,,,,,2023-05-22,,18 Mo,2023-02-27,In Person,Berry,Tina,Associate,
SAP,Enterprise,Arnold,Meredith,(917)688-2879,Interested,2007-04-23,UPG,In Person,,2023-04-26,,12 Mo,2023-02-08,,Kennedy,Brian,,
NEC,Solo,Ferrell,Darrell,(596)864-3575,,2022-02-24,NEW,Telephonic,2023-02-01,2023-02-06,,1 Mo,2023-03-17,Telephonic,Mejia,Oscar,Closer,
NTT Data,Enterprise,Roberts,Albert,(944)950-5866,Interested,,NEW,Email,,,,1 Mo,,Telephonic,Coleman,Kimberly,Closer,
VMware,Professional,Griffith,Henry,6414329461,,2010-01-26,UPG,Telephonic,,2023-01-18,,12 Mo,,,Allen,Christine,,
SAP,Solo,Wright,David,395-897-4796,No Deal,2010-04-09,NEW,Telephonic,2023-03-08,2023-05-23,,,,Telephonic,Davis,Patricia,Manager,
Dell,Solo,Phillips,Andrea,(204)300-7795,No Deal,,,Social Media,,2023-01-07,2023-01-17,12 Mo,,In Person,Mann,Samantha,Associate,
Huawei,Professional,Atkinson,Tony,905-536-2982,,,NEW,Social Media,,2023-02-19,,1 Mo,,,Reed,Megan,Manager,
IBM,Professional,Chapman,Aaron,(650)891-2911,No Deal,2019-06-07,ADD,Email,,,,1 Mo,,In Person,Schmidt,Jennifer,Associate,
SAP,Enterprise,Anderson,Gregory,(675)387-3966,,,ADD,Social Media,,2023-01-28,,6 Mo,,Telephonic,Carey,Todd,Associate,
Intel,Enterprise,Glenn,Richard,(789)687-9885,Interested,,NEW,In Person,,,2023-06-18,1 Mo,,In Person,Roberts,Emma,,
Oracle,Solo,Howard,Michael,224-525-2627,Closed,2003-03-23,NEW,Email,,,,,2023-03-19,In Person,Lee,Jennifer,Closer,
HP,Professional,Carlson,Douglas,838-805-6222,,2022-01-22,RPT,Email,,2023-02-07,2023-03-06,12 Mo,,Telephonic,Contreras,Adam,Associate,
HP,Solo,Franco,Heather,3743964379,Interested,2006-10-27,RPT,Telephonic,,2023-04-28,2023-03-29,18 Mo,,Telephonic,Barnes,Michael,,
Salesforce,Professional,Roberts,Shannon,7348050601,,2003-11-14,RPT,Social Media,,2023-04-01,,12 Mo,,,Garcia,Rita,,
Facebook,Solo,Flores,John,(319)332-1713,Follow Up,2015-10-25,NEW,Telephonic,,2023-02-21,,12 Mo,2023-01-31,,Scott,Stephanie,Associate,
Dell,Professional,Fuller,Brianna,5285478412,Follow Up,2012-11-03,RPT,Email,,2023-02-10,2023-04-20,6 Mo,,,Smith,Justin,,
NEC,Enterprise,Simon,Tom,4792944382,Closed,2017-09-28,UPG,Telephonic,,,2023-05-28,18 Mo,,Telephonic,Benitez,Vickie,Closer,
Oracle,Solo,Harvey,Austin,(483)644-9523,Follow Up,,RPT,Social Media,2023-06-25,2023-04-22,2023-01-02,6 Mo,,In Person,Rogers,Hannah,,
NTT DOCOMO,Professional,Colon,Brian,563-400-1385,,,ADD,Telephonic,,2023-04-10,,18 Mo,,,Gross,Timothy,Manager,
Huawei,Solo,Smith,Alexis,229-243-6763,Closed,2003-08-09,ADD,Expo Event,,2023-06-01,2023-06-11,18 Mo,,,Hunter,Vanessa,Associate,
Cisco,Enterprise,Roth,David,6338429066,Follow Up,,ADD,Expo Event,2023-01-29,,,12 Mo,,Telephonic,Lewis,Jasmine,Associate,
Intel,Solo,Mckay,Samuel,338-813-3654,Closed,,NEW,,2023-02-01,2023-02-19,,18 Mo,,In Person,Anderson,Emily,,
NEC,Professional,Brown,Gary,781-624-5359,No Deal,2003-01-03,ADD,Social Media,,,,,2023-03-15,In Person,Mcbride,Luis,,
VMware,Professional,Castillo,Andrew,860-559-1497,,2005-07-31,ADD,Expo Event,,2023-05-09,,18 Mo,,Telephonic,Oneal,Chad,Closer,
NTT Security,Solo,Davis,Jonathan,804-354-4847,No Deal,,UPG,Email,,2023-04-29,,1 Mo,2023-03-29,,Valdez,Lori,,
HPE,Enterprise,Mercer,Morgan,4382633363,Interested,2017-11-19,NEW,,,,2023-01-26,6 Mo,,Telephonic,Jennings,Sylvia,Closer,
IBM,Enterprise,Ford,Robert,3028436446,,,RPT,,,,,1 Mo,,,King,Peter,,
NTT Advanced Technology,Enterprise,Dennis,Brandon,(751)298-4935,Closed,,RPT,In Person,,2023-06-27,,1 Mo,,In Person,Bates,Victoria,Manager,
HPE,Solo,Young,David,209-953-5330,Closed,,ADD,Email,,,2023-03-09,1 Mo,2023-04-28,Telephonic,Harris,Christine,Associate,
Cisco,Enterprise,Spears,Andrea,352-967-5351,No Deal,2014-12-30,,Telephonic,,,,1 Mo,,,Cole,Daisy,Manager,
Intel,Enterprise,Hawkins,David,(952)972-4793,,2008-01-28,UPG,,,,,6 Mo,,,Gregory,David,Closer,
Microsoft,Enterprise,Roberts,Nicole,270-239-0686,No Deal,2019-07-24,,,,,,12 Mo,,,Heath,Clayton,,
